,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
0,6.5,7,4,0,657,114,7.177,25.0,192.955,-13.8814,167.158
1,6.5,8,6,0,775,92,0.679,40.0,69.727,12.814,-88.1265
2,6.6,7,5,0,899,70,1.634,28.0,171.371,-38.1911,-70.3731
3,7.2,6,6,1,860,173,0.907,36.0,32.571,54.3844,-160.699
4,7.3,0,5,1,820,79,0.879451,172.8,21.0,54.49,-160.796
5,6.6,5,4,1,802,95,2.454,37.0,10.0,20.0196,-61.0955
6,6.9,4,4,1,741,136,1.179,23.0,229.0,-17.853,-174.937
7,7.2,8,6,1,804,85,2.59,24.0,167.404,-22.9824,-177.208
8,6.6,6,6,1,733,50,2.163,129.0,10.0,8.8894,-77.1231
9,7.1,3,4,1,777,98,2.812,56.0,35.981,-23.0622,170.456
10,7.7,5,4,1,927,277,3.111,15.0,18.027,-23.2286,170.694
11,7.6,8,6,1,907,111,3.631,17.0,210.097,-15.6002,-174.608
12,6.6,0,2,0,670,52,5.123,50.0,598.467,-25.2657,178.424
13,7.1,9,7,0,838,70,2.282,58.0,15.462,-0.781,98.5339
14,7.1,8,7,1,777,126,0.708,23.0,43.063,-30.0249,-177.897
15,6.7,0,3,1,691,166,4.719,10.0,595.854,-22.2844,179.391
16,7.0,5,3,0,818,131,1.881,31.0,594.028,-6.0255,112.033
17,6.5,7,6,1,655,104,0.266,30.0,105.631,52.7772,158.484
18,7.0,7,7,1,781,105,6.45,31.0,62.603,-4.2924,143.155
19,6.5,4,4,0,656,97,1.622,33.0,209.976,-23.4797,-66.5108
20,6.5,7,5,0,1350,134,2.53,13.0,187.589,36.5227,70.9787
21,6.8,9,7,1,1159,152,0.709,28.0,65.842,-2.851,-79.8001
22,7.0,8,5,1,756,116,1.789,22.0,22.065,-30.1147,-176.112
23,6.9,5,5,1,735,108,0.784,18.0,205.681,-29.4748,-178.787
24,6.5,7,6,1,653,66,5.483,45.0,10.0,-15.3597,166.385
25,6.5,4,2,1,652,115,2.739,20.0,598.925,-4.8138,149.487
26,6.8,9,7,0,737,128,1.783,20.0,20.522,38.0726,73.2077
27,7.5,9,9,0,1411,135,0.85,17.0,10.0,38.0235,37.203
28,6.7,9,8,0,800,108,0.218,44.0,14.497,37.4135,36.8306
29,7.8,9,9,0,2910,118,1.919,32.0,17.925,37.2012,36.9997
30,6.8,4,3,0,718,60,5.129,61.0,610.671,-26.7209,-63.0394
31,7.0,3,5,1,756,130,1.974,17.0,28.566,2.7401,127.051
32,7.6,5,7,0,957,114,1.575,21.0,105.249,-7.0852,130.039
33,7.0,8,7,1,768,116,6.096,36.0,29.0,-14.9383,166.878
34,6.8,5,5,1,720,152,2.587,26.0,38.0,-15.3983,-172.968
35,7.0,8,7,1,768,117,0.509,17.0,14.0,-9.7963,159.596
36,6.9,4,4,0,735,99,2.229,34.0,25.0,-4.9559,100.738
37,7.0,3,3,1,755,147,3.125,18.0,579.0,-20.0508,-178.346
38,7.3,5,5,1,833,149,1.865,21.0,37.0,-19.2918,-172.129
39,6.6,0,2,1,670,131,4.998,27.0,624.464,-25.5948,178.278
40,7.0,4,3,1,755,142,4.578,26.0,660.0,-26.0442,178.381
41,6.8,1,3,1,711,136,4.678,22.0,630.379,-25.9678,178.363
42,6.7,7,6,1,797,145,1.151,37.0,20.0,7.6712,-82.3396
43,6.8,8,7,1,1179,175,2.137,92.0,20.0,18.33,-102.913
44,7.6,9,8,1,1799,271,1.153,69.0,26.943,18.3667,-103.252
45,6.9,9,9,1,887,215,0.401,34.0,10.0,23.1444,121.307
46,6.5,7,7,1,756,178,0.43,54.0,10.0,23.029,121.348
47,7.0,7,5,1,761,192,2.977,45.0,137.0,-21.2077,170.239
48,7.6,8,8,1,965,272,3.158,12.0,116.0,-6.2237,146.471
49,6.6,9,8,0,1043,141,8.454,34.0,12.0,29.7263,102.279
50,6.6,7,6,1,672,68,5.293,34.0,30.0,-32.6922,-178.959
51,7.0,9,8,1,1351,152,5.276,22.0,33.729,17.5978,120.809
52,6.5,3,2,0,653,236,1.999,31.0,622.73,-9.0618,-71.1647
53,7.2,7,5,1,876,144,2.494,40.0,236.0,-14.8628,-70.3081
54,6.9,2,5,1,733,127,0.371,45.0,10.0,-54.1325,159.027
55,6.8,6,5,1,762,162,1.505,30.0,220.0,-23.6141,-66.7236
56,6.6,6,5,1,762,0,0.914,94.0,27.0,11.5538,-86.9919
57,7.0,6,4,1,763,0,2.705,26.0,10.0,-22.5732,170.349
58,6.9,6,4,1,738,0,2.697,42.0,10.0,-22.72,170.277
59,6.7,8,7,1,806,0,0.289,32.0,24.0,23.3421,121.636
60,7.3,9,8,1,2397,0,2.936,29.0,41.0,37.7015,141.587
61,6.7,9,6,0,708,0,2.188,43.0,28.0,-0.6831,98.6034
62,6.6,2,7,1,670,0,0.827,46.0,24.0,-30.0528,-177.74
63,6.8,2,3,1,712,0,5.78,12.0,535.0,-23.7852,-179.968
64,6.5,8,6,0,690,0,3.026,22.0,110.0,-4.455,-76.9395
65,6.5,7,4,1,651,0,1.088,57.0,8.0,-29.535,-176.729
66,6.6,8,6,0,785,0,2.418,22.0,33.0,-6.9291,105.251
67,6.5,0,3,1,650,97,1.61607,108.0,37.0,52.502,-168.08
68,6.5,0,3,1,650,23,0.0,208.8,37.0,52.502,-168.08
69,6.6,8,5,1,674,0,0.507,49.0,19.0,52.6252,-168.15
70,6.7,0,4,1,691,50,0.936943,126.0,33.0,52.48,-167.736
71,6.7,0,4,1,691,20,0.0,205.2,33.0,52.48,-167.736
72,6.8,7,6,1,730,0,0.92,61.0,20.0,52.6563,-167.917
73,6.6,6,6,0,976,0,1.168,21.0,21.0,35.1456,31.9095
74,6.6,9,8,0,1012,0,2.685,13.0,13.0,37.8167,101.299
75,7.3,8,7,0,921,0,3.713,19.0,165.49,-7.5924,127.581
76,7.3,9,5,1,854,0,1.025,32.0,14.27,-7.6033,122.2
77,7.5,8,8,1,1094,0,4.951,40.0,126.0,-4.4898,-76.8461
78,6.6,7,4,1,688,0,3.259,15.0,12.0,23.5414,126.48
79,6.9,8,6,1,995,0,0.0,0.0,51.6,56.2581,-156.492
80,6.9,4,3,1,740,0,4.778,31.0,535.0,-21.1704,174.54
81,7.3,4,4,1,826,0,4.493,32.0,527.0,-21.1036,174.895
82,6.5,7,5,1,684,0,0.993,114.0,21.0,12.1598,-87.8542
83,7.0,8,8,1,2504,0,0.07,43.0,20.0,16.9502,-99.7877
84,7.1,1,4,1,776,0,9.799,32.0,6.0,-60.3026,-24.9992
85,6.6,1,3,1,670,0,8.865,19.0,7.0,-60.1023,-24.4608
86,6.9,8,7,1,741,0,0.579,54.0,93.0,-14.892,167.085
87,6.9,6,4,1,734,0,8.363,48.0,16.7,-58.3814,-23.3318
88,7.2,9,8,1,2331,0,1.178,23.0,10.0,18.3521,-73.4804
89,6.9,5,4,1,738,0,0.0,0.0,33.3,55.2364,-157.707
90,6.9,5,4,1,738,0,1.173,36.0,20.74,55.2657,-157.68
91,8.1,0,7,0,1009,0,7.463,78.0,22.79,-58.4157,-25.3206
92,7.5,9,6,1,868,0,7.227,38.0,47.23,-57.5959,-25.1874
93,7.1,9,7,1,846,0,1.273,25.0,55.14,6.4547,126.742
94,8.2,8,6,1,1237,0,0.875,66.0,46.66,55.4742,-157.917
95,8.2,8,7,1,1252,0,0.0,0.0,35.0,55.3154,-157.829
96,6.7,8,5,1,935,0,8.139,12.0,110.0,13.6989,120.713
97,6.7,6,6,1,830,0,1.395,61.0,10.0,7.5904,-82.8813
98,6.5,0,4,1,650,0,7.994,24.0,25.0,-30.2144,-177.773
99,6.5,5,7,1,652,0,4.518,44.0,10.0,-16.4796,-177.356
100,7.3,9,9,0,1025,0,4.655,9.0,10.0,34.5861,98.2551
101,6.7,8,4,0,698,0,1.487,37.0,11.0,0.1684,96.6475
102,6.7,9,3,0,694,0,10.669,45.0,10.0,-17.2495,66.3745
103,6.9,7,6,1,919,0,2.619,35.0,43.0,38.2296,141.665
104,6.5,4,4,0,651,0,5.931,20.0,246.0,-21.6857,-177.064
105,6.5,6,4,0,652,0,10.405,19.0,301.0,-18.9204,-176.235
106,7.0,7,7,1,1052,0,2.378,35.0,43.0,38.4752,141.607
107,6.6,5,5,1,672,0,3.183,18.0,13.23,54.7018,163.208
108,6.5,0,4,0,650,0,11.764,25.0,24.0,-28.4792,-176.619
109,8.1,9,8,1,1021,0,0.739,21.0,28.93,-29.7466,-177.224
110,7.4,3,7,1,843,0,0.437,30.0,43.0,-29.6131,-177.842
111,7.3,7,6,1,932,0,0.918,24.0,10.0,-37.596,179.544
112,7.1,9,8,1,1612,0,3.085,11.0,43.98,37.6856,141.992
113,7.7,9,4,1,918,0,7.989,15.0,10.0,-23.2787,171.489
114,6.9,9,5,1,739,0,1.55,16.0,15.0,-61.8484,-55.559
115,7.0,7,5,1,802,0,2.821,15.0,80.0,5.0074,127.517
116,6.7,8,8,0,776,0,2.043,22.0,10.0,51.2407,100.443
117,6.7,5,5,1,776,0,1.319,19.0,10.0,-39.3264,-74.9067
118,7.0,8,7,0,1527,0,1.518,18.0,21.0,37.8973,26.7953
119,7.6,9,7,1,1165,0,0.23,36.0,28.37,54.662,-159.675
120,6.9,0,3,1,732,0,11.255,16.0,10.0,0.9604,-26.8332
121,6.5,6,6,0,674,0,0.388,49.0,16.0,-27.9285,-71.3937
122,6.8,6,7,1,824,0,0.312,69.0,21.0,-28.013,-71.1958
123,6.5,4,5,0,651,0,15.394,31.0,10.0,0.8696,-29.7046
124,6.9,4,3,0,749,0,2.267,20.0,624.0,-6.6704,123.493
125,6.9,4,4,0,735,0,1.716,25.0,26.0,-4.2791,101.215
126,6.8,5,4,0,716,0,1.816,34.0,22.0,-4.3724,101.095
127,6.6,9,8,1,784,0,5.128,14.0,10.0,12.0065,124.13
128,7.8,9,7,1,1111,0,0.621,60.0,28.0,55.1079,-158.477
129,7.0,6,7,1,820,0,1.671,18.0,73.0,-7.847,147.755
130,6.6,4,2,0,684,0,1.458,14.0,533.76,-5.6368,110.678
131,7.4,8,8,1,1494,0,0.151,30.0,20.0,15.9163,-95.9533
132,7.4,7,7,1,873,0,4.035,23.0,10.0,-33.2938,-177.838
133,6.6,5,4,1,734,0,2.015,18.0,165.0,28.9386,128.262
134,6.8,6,6,1,835,0,1.164,21.0,112.0,-23.2966,-68.4204
135,6.5,7,8,0,1320,27,0.357,55.79,2.7,38.1689,-117.85
136,6.6,4,6,1,671,0,3.403,12.0,107.0,-12.0662,166.648
137,6.8,4,6,0,738,0,1.921,16.0,96.0,-6.7762,129.785
138,6.5,7,6,0,678,0,1.293,19.0,10.0,34.1818,25.7101
139,6.5,8,8,0,1410,0,0.885,31.0,12.06,44.4646,-115.118
140,7.5,6,5,1,879,0,4.109,12.0,57.8,48.9638,157.695
141,7.0,5,6,1,770,0,4.501,25.0,143.0,45.6161,148.959
142,7.7,9,6,1,1812,0,1.657,26.0,14.86,19.4193,-78.756
143,6.7,8,9,0,1247,0,0.87,49.0,10.0,38.4312,39.0609
144,6.8,9,7,1,825,0,0.546,39.0,18.0,6.6969,125.174
145,7.1,6,6,1,799,0,1.271,11.0,33.0,1.6213,126.416
146,6.5,0,2,0,650,0,4.765,25.0,577.0,-21.9449,-179.511
147,6.6,4,4,1,673,0,5.086,48.0,10.0,-18.5747,-175.272
148,6.5,9,7,1,733,0,0.428,19.0,10.0,6.9098,125.178
149,6.6,9,7,1,780,0,0.646,24.0,15.0,6.7567,125.008
150,6.7,7,6,1,844,0,1.269,98.0,11.0,-35.4758,-73.163
151,6.5,7,7,1,656,0,3.909,15.0,12.26,-3.4528,128.37
152,6.6,2,3,1,671,0,4.121,19.0,591.0,-20.3641,-178.57
153,6.6,0,4,1,670,0,12.896,19.0,16.0,-60.2152,-26.5801
154,6.9,4,6,0,875,0,2.839,23.0,49.0,-7.2822,104.791
155,6.8,6,6,1,947,0,0.817,35.0,25.0,-34.2364,-72.3102
156,6.6,0,4,1,670,0,6.024,30.0,181.0,-16.1985,167.998
157,7.2,7,7,1,809,0,1.504,38.0,18.98,-0.5858,128.034
158,6.6,5,5,0,791,0,2.978,32.0,10.0,-18.2242,120.358
159,6.9,7,5,0,747,0,1.205,21.0,35.0,0.5126,126.189
160,7.1,9,9,0,1646,77,0.04616,43.0,8.0,35.7695,-117.599
161,7.3,4,6,1,952,0,2.629,16.0,212.0,-6.4078,129.169
162,7.3,8,6,1,830,0,1.402,11.0,46.0,-30.6441,-178.1
163,6.6,7,6,1,886,0,1.193,22.0,57.92,13.1994,-89.3056
164,8.0,9,8,1,1890,0,3.18,17.0,122.57,-5.8119,-75.2697
165,7.6,7,7,1,929,0,0.453,16.0,10.0,-4.051,152.597
166,7.1,7,6,1,826,0,2.514,16.0,146.0,-6.9746,146.449
167,6.8,5,6,1,717,0,0.791,28.0,15.46,-1.8146,122.58
168,6.5,0,5,1,650,0,7.568,18.0,38.0,-58.6262,-25.304
169,7.0,7,4,1,869,0,2.501,42.0,267.0,-14.7131,-70.1546
170,7.5,7,7,1,1145,0,2.045,15.0,145.0,-2.1862,-77.0505
171,6.7,6,6,1,909,0,0.289,43.0,66.0,14.6802,-92.4527
172,6.7,0,3,0,691,0,7.527,17.0,13.0,-43.1219,42.3568
173,6.7,8,8,1,1600,0,0.173,22.0,63.0,-30.0404,-71.3815
174,6.6,5,4,1,671,0,7.818,18.0,35.0,-13.336,166.875
175,6.6,2,4,1,672,0,1.596,33.0,43.21,2.258,126.758
176,6.8,3,3,0,715,0,1.181,16.0,570.41,-8.144,-71.587
177,7.0,5,5,1,803,0,1.769,21.0,60.21,5.8983,126.921
178,7.3,3,7,1,822,0,4.126,23.0,16.56,55.0999,164.699
179,7.1,0,5,1,776,0,7.043,20.0,133.0,-58.5446,-26.3856
180,6.6,0,4,1,670,0,2.679,31.0,10.0,-22.0629,169.733
181,7.5,3,6,1,871,0,2.405,18.0,10.0,-21.9496,169.427
182,7.1,8,8,1,1790,0,0.0,0.0,46.7,61.3464,-149.955
183,6.8,0,3,1,711,0,2.879,39.0,540.0,-17.8735,-178.927
184,6.7,3,4,1,693,0,7.853,19.0,10.0,71.6312,-11.2431
